0.100682,0.299998,0.10157,0.299998,0.102114,0.299997,0.103078,0.299996,0.103805,0.299995
0.101364,0.299992,0.103142,0.29999,0.104229,0.299989,0.106158,0.299985,0.107614,0.29998
0.102047,0.299982,0.104715,0.299979,0.106346,0.299975,0.109242,0.299966,0.111427,0.299956
0.102732,0.299969,0.106289,0.299962,0.108465,0.299955,0.112328,0.299939,0.115243,0.299923
0.103417,0.299951,0.107865,0.299941,0.110586,0.299931,0.115416,0.299905,0.119063,0.29988
0.104103,0.29993,0.109442,0.299915,0.112708,0.2999,0.118508,0.299864,0.122887,0.299827
0.10479,0.299904,0.11102,0.299884,0.114832,0.299864,0.121601,0.299815,0.126713,0.299766
0.105478,0.299875,0.112599,0.299849,0.116957,0.299823,0.124697,0.299759,0.130544,0.299696
0.106167,0.299842,0.11418,0.29981,0.119084,0.299777,0.127796,0.299696,0.134377,0.299617
0.106856,0.299805,0.115761,0.299765,0.121212,0.299725,0.130897,0.299627,0.138213,0.299529
0.107547,0.299764,0.117344,0.299716,0.123342,0.299669,0.134,0.29955,0.142053,0.299433
0.108238,0.29972,0.118928,0.299663,0.125473,0.299607,0.137105,0.299466,0.145895,0.299329
0.10893,0.299671,0.120513,0.299605,0.127605,0.299539,0.140212,0.299376,0.14974,0.299216
0.109623,0.299619,0.122099,0.299543,0.129739,0.299467,0.143321,0.29928,0.153588,0.299096
0.110317,0.299563,0.123686,0.299476,0.131874,0.29939,0.146432,0.299176,0.157438,0.298967
0.111012,0.299503,0.125274,0.299405,0.134011,0.299308,0.149545,0.299067,0.16129,0.298831
0.111707,0.299439,0.126863,0.29933,0.136148,0.29922,0.15266,0.298951,0.165145,0.298688
0.112403,0.299372,0.128453,0.29925,0.138287,0.299128,0.155776,0.298829,0.169002,0.298537
0.1131,0.299301,0.130044,0.299166,0.140426,0.299031,0.158894,0.2987,0.172861,0.298379
0.113798,0.299226,0.131635,0.299078,0.142567,0.29893,0.162013,0.298566,0.176721,0.298215
0.114496,0.299147,0.133228,0.298985,0.144709,0.298823,0.165134,0.298426,0.180584,0.298043
0.115195,0.299064,0.134821,0.298889,0.146852,0.298712,0.168256,0.298281,0.184448,0.297865
0.115895,0.298978,0.136415,0.298788,0.148996,0.298596,0.17138,0.29813,0.188314,0.297681
0.116596,0.298888,0.13801,0.298682,0.15114,0.298476,0.174504,0.297973,0.192181,0.297491
0.117297,0.298795,0.139606,0.298573,0.153286,0.298351,0.17763,0.297811,0.196049,0.297295
0.117999,0.298697,0.141202,0.29846,0.155432,0.298222,0.180756,0.297644,0.199918,0.297093
0.118702,0.298596,0.142799,0.298343,0.157579,0.298088,0.183884,0.297471,0.203788,0.296885
0.119405,0.298492,0.144397,0.298221,0.159726,0.29795,0.187012,0.297294,0.207659,0.296673
0.120109,0.298383,0.145995,0.298096,0.161875,0.297807,0.190141,0.297112,0.21153,0.296455
